房屋信息链接,房屋地址,户型,房屋面积,朝向,装修,楼层,年份,房屋类型,价格,城市
https://bj.lianjia.com/ershoufang/101127279354.html,西派国际公寓    -  官园 ,2室2厅 ,146, 东 , 精装 , 高楼层(共17层)  ,暂无数据, 板塔结合,1395,北京
https://bj.lianjia.com/ershoufang/101126722915.html,名流花园    -  北七家 ,2室2厅 ,107, 南 北 东 西 , 精装 , 中楼层(共7层)  ,暂无数据, 板楼,295,北京
https://bj.lianjia.com/ershoufang/101127043753.html,西潞园一里    -  良乡 ,2室1厅 ,59, 南 北 , 精装 , 低楼层(共6层) ,1993, 板楼,153,北京
https://bj.lianjia.com/ershoufang/101127624142.html,弘善家园    -  潘家园 ,1室0厅 ,46, 南 , 简装 , 高楼层(共26层)  ,暂无数据, 塔楼,235,北京
https://bj.lianjia.com/ershoufang/101125977587.html,崇文门东大街    -  崇文门 ,2室1厅 ,55, 南 , 精装 , 中楼层(共14层)  ,暂无数据, 板楼,510,北京
https://bj.lianjia.com/ershoufang/101124738977.html,MASTER领域    -  国展 ,1室1厅 ,67, 东北 , 精装 , 中楼层(共20层) ,2008, 塔楼,259,北京
https://bj.lianjia.com/ershoufang/101126592365.html,板桥南街7号院    -  顺义其它 ,2室1厅 ,81, 北 南 , 简装 , 底层(共11层) ,2015, 板塔结合,125,北京
https://bj.lianjia.com/ershoufang/101127631094.html,军庄杨坨小区    -  门头沟其它 ,2室1厅 ,50, 南 , 简装 , 低楼层(共6层)  ,暂无数据, 板楼,102,北京
https://bj.lianjia.com/ershoufang/101127627534.html,林校北里    -  黄村火车站 ,2室1厅 ,61, 南 北 , 简装 , 低楼层(共6层) ,1994, 板楼,199,北京
https://bj.lianjia.com/ershoufang/101123949333.html,西局欣园南区    -  七里庄 ,2室2厅 ,118, 南 北 , 简装 , 16层  ,暂无数据, 板楼,699,北京
https://bj.lianjia.com/ershoufang/101126158248.html,远洋新干线    -  燕莎 ,3室2厅 ,151, 西 北 , 精装 , 23层  ,暂无数据, 塔楼,998,北京
https://bj.lianjia.com/ershoufang/101127135425.html,百环家园    -  双井 ,2室2厅 ,110, 东南 , 简装 , 中楼层(共26层) ,2005, 塔楼,578,北京
https://bj.lianjia.com/ershoufang/101116972525.html,朝阳新城五区    -  东坝 ,3室1厅 ,115, 南 北 , 简装 , 低楼层(共6层)  ,暂无数据, 板楼,499,北京
https://bj.lianjia.com/ershoufang/101126521646.html,首开龙湖天琅    -  瀛海 ,2室1厅 ,77, 南 北 , 精装 , 低楼层(共15层) ,2018, 板楼,280,北京
https://bj.lianjia.com/ershoufang/101125398775.html,鹏润家园    -  菜户营 ,3室2厅 ,205, 东南 , 其他 , 低楼层(共30层) ,2000, 塔楼,1098,北京
https://bj.lianjia.com/ershoufang/101126010919.html,惠景新苑    -  房山其它 ,2室1厅 ,69, 南 , 简装 , 高楼层(共18层) ,2013, 塔楼,60,北京
https://bj.lianjia.com/ershoufang/101124794584.html,阳光城京悦府    -  通州其它 ,2室2厅 ,90, 南 , 其他 , 高楼层(共21层)  ,暂无数据, 板楼,322,北京
https://bj.lianjia.com/ershoufang/101124724940.html,铭品嘉苑    -  长阳 ,1室1厅 ,70, 南 , 精装 , 中楼层(共20层) ,2016, 塔楼,159,北京
https://bj.lianjia.com/ershoufang/101125972706.html,宣颐家园    -  旧宫 ,2室1厅 ,34, 西 , 简装 , 中楼层(共5层) ,2004, 塔楼,138,北京
https://bj.lianjia.com/ershoufang/101127127696.html,名流花园    -  北七家 ,3室1厅 ,94, 南 北 东 , 简装 , 中楼层(共7层) ,1996, 板楼,285,北京
https://bj.lianjia.com/ershoufang/101125733382.html,金域缇香    -  长阳 ,2室1厅 ,88, 南 , 精装 , 中楼层(共18层) ,2015, 板塔结合,319,北京
https://bj.lianjia.com/ershoufang/101123808750.html,双柳巷    -  双桥 ,2室1厅 ,58, 南 北 , 简装 , 中楼层(共6层)  ,暂无数据, 板楼,218,北京
https://bj.lianjia.com/ershoufang/101125905457.html,利泽西园    -  望京 ,1室1厅 ,55, 东 西 , 精装 , 低楼层(共7层) ,2000, 板楼,292,北京
https://bj.lianjia.com/ershoufang/101126030491.html,久敬佳园二区    -  和义 ,2室2厅 ,102, 南 北 , 精装 , 顶层(共6层) ,2007, 板楼,355,北京
