房屋信息链接,房屋地址,户型,房屋面积,朝向,装修,楼层,年份,房屋类型,价格,城市
https://nj.lianjia.com/ershoufang/103136155090.html,临江锦园    -  澳林广场 ,3室2厅 ,121, 南 , 其他 , 中楼层(共27层)  ,暂无数据, 暂无数据,160,南京
https://nj.lianjia.com/ershoufang/103136971437.html,雨庭花园    -  南门新城 ,2室2厅 ,85, 南 北 , 其他 , 低楼层(共18层)  ,暂无数据, 板塔结合,65,南京
https://nj.lianjia.com/ershoufang/103135840665.html,莲花新城南苑    -  油坊桥 ,2室1厅 ,60, 南 , 其他 , 高楼层(共33层)  ,暂无数据, 板塔结合,80,南京
https://nj.lianjia.com/ershoufang/103122876922.html,银亿东城第十一街区    -  麒麟镇 ,3室2厅 ,100, 南 , 其他 , 低楼层(共32层)  ,暂无数据, 板塔结合,108,南京
https://nj.lianjia.com/ershoufang/103134163616.html,时花公寓    -  东山镇 ,2室1厅 ,73, 南 北 , 其他 , 中楼层(共7层)  ,暂无数据, 板楼,108,南京
https://nj.lianjia.com/ershoufang/103134821131.html,滨湖丽景花园F区    -  高淳 ,3室2厅 ,104, 南 北 , 其他 , 中楼层(共9层)  ,暂无数据, 暂无数据,35,南京
https://nj.lianjia.com/ershoufang/103131284973.html,南方花园枫彩园北区    -  岔路口 ,2室1厅 ,101, 南 北 , 简装 , 低楼层(共16层)  ,暂无数据, 板楼,189,南京
https://nj.lianjia.com/ershoufang/103137017424.html,五条巷小区    -  湖南路 ,2室1厅 ,52, 东 东南 , 简装 , 中楼层(共7层)  ,暂无数据, 板楼,130,南京
https://nj.lianjia.com/ershoufang/103134622653.html,华山山庄    -  海峡科技城 ,2室1厅 ,85, 南 , 其他 , 低楼层(共18层)  ,暂无数据, 板楼,96,南京
https://nj.lianjia.com/ershoufang/103127597111.html,高尔夫国际花园    -  百家湖 ,3室2厅 ,113, 南 , 其他 , 高楼层(共11层)  ,暂无数据, 板楼,319,南京
https://nj.lianjia.com/ershoufang/103127788148.html,澳丽嘉园    -  大光路 ,4室1厅 ,152, 南 北 , 简装 , 高楼层(共11层)  ,暂无数据, 板塔结合,648,南京
https://nj.lianjia.com/ershoufang/103126319776.html,金浦御龙湾E区    -  迈皋桥 ,3室2厅 ,106, 南 , 毛坯 , 中楼层(共7层)  ,暂无数据, 板塔结合,370,南京
https://nj.lianjia.com/ershoufang/103133879276.html,金地风华国际    -  江北研创园 ,4室2厅 ,199, 南 , 其他 , 低楼层(共26层)  ,暂无数据, 暂无数据,285,南京
https://nj.lianjia.com/ershoufang/103124188066.html,琥珀森林一期    -  软件大道 ,3室2厅 ,110, 南 北 , 其他 , 低楼层(共18层)  ,暂无数据, 板塔结合,320,南京
https://nj.lianjia.com/ershoufang/103135047796.html,恒建金陵美域    -  湖熟 ,2室1厅 ,74, 南 , 精装 , 中楼层(共6层)  ,暂无数据, 板塔结合,59,南京
https://nj.lianjia.com/ershoufang/103135534403.html,莲花新城南苑    -  油坊桥 ,2室1厅 ,71, 南 , 简装 , 高楼层(共34层)  ,暂无数据, 板塔结合,93,南京
https://nj.lianjia.com/ershoufang/103132801281.html,翠屏湾花园城    -  将军大道 ,2室1厅 ,82, 南 , 精装 , 中楼层(共18层)  ,暂无数据, 板楼,130,南京
https://nj.lianjia.com/ershoufang/103136376096.html,新城香悦澜山    -  仙林湖 ,3室1厅 ,82, 南 , 简装 , 低楼层(共27层)  ,暂无数据, 板塔结合,170,南京
https://nj.lianjia.com/ershoufang/103137043134.html,虎啸花园    -  水佐岗 ,4室2厅 ,158, 南 北 , 其他 , 中楼层(共7层)  ,暂无数据, 板塔结合,680,南京
https://nj.lianjia.com/ershoufang/103135705641.html,南京恒大养生谷    -  六合其它 ,4室2厅 ,135, 南 北 , 精装 , 高楼层(共7层)  ,暂无数据, 板楼,90,南京
https://nj.lianjia.com/ershoufang/103136553670.html,俞家巷    -  新街口 ,2室1厅 ,48, 南 , 简装 , 高楼层(共6层)  ,暂无数据, 板塔结合,110,南京
https://nj.lianjia.com/ershoufang/103136420507.html,威尼斯水城第十一街区    -  柳州东路 ,2室1厅 ,95, 南 , 其他 , 中楼层(共30层)  ,暂无数据, 板楼,125,南京
https://nj.lianjia.com/ershoufang/103136556898.html,万达东坊    -  万达广场 ,1室0厅 ,43, 西 , 其他 , 高楼层(共7层)  ,暂无数据, 塔楼,55,南京
https://nj.lianjia.com/ershoufang/103131581603.html,西瓜圃桥    -  三牌楼 ,1室1厅 ,42, 南 , 其他 , 中楼层(共4层)  ,暂无数据, 板楼,74,南京
https://nj.lianjia.com/ershoufang/103120148498.html,电建海赋尚城一期    -  万寿 ,3室2厅 ,97, 南 北 , 其他 , 高楼层(共34层)  ,暂无数据, 板楼,230,南京
https://nj.lianjia.com/ershoufang/103126181499.html,莲花嘉园    -  油坊桥 ,2室1厅 ,67, 南 , 简装 , 中楼层(共34层)  ,暂无数据, 板楼,110,南京
https://nj.lianjia.com/ershoufang/103124301899.html,银城旭辉云台天境    -  上秦淮 ,2室2厅 ,81, 南 , 其他 , 高楼层(共18层)  ,暂无数据, 板楼,193,南京
https://nj.lianjia.com/ershoufang/103136906970.html,白云小区    -  热河南路 ,2室1厅 ,63, 南 北 , 其他 , 高楼层(共8层)  ,暂无数据, 板楼,108,南京
https://nj.lianjia.com/ershoufang/103136889003.html,四方新村四村    -  月牙湖 ,2室1厅 ,54, 南 , 其他 , 中楼层(共7层)  ,暂无数据, 板塔结合,89,南京
https://nj.lianjia.com/ershoufang/103137003106.html,证大喜玛拉雅中心    -  南京南站 ,1室1厅 ,44, 东 , 其他 , 中楼层(共23层)  ,暂无数据, 塔楼,56,南京
https://nj.lianjia.com/ershoufang/103132254243.html,托乐嘉单身公寓    -  将军大道 ,1室1厅 ,37, 南 西南 , 精装 , 中楼层(共11层)  ,暂无数据, 塔楼,85,南京
https://nj.lianjia.com/ershoufang/103131740774.html,北江锦城    -  南审 ,3室2厅 ,122, 南 北 , 其他 , 中楼层(共5层)  ,暂无数据, 板楼,170,南京
