房屋信息链接,房屋地址,户型,房屋面积,朝向,装修,楼层,年份,房屋类型,价格,城市
https://tj.lianjia.com/ershoufang/101122976990.html,国耀上河城    -  双街 ,2室1厅 ,90, 南 , 其他 , 中楼层(共34层)  ,暂无数据, 板塔结合,99,天津
https://tj.lianjia.com/ershoufang/101126366714.html,静湖花园东区    -  静湖 ,1室1厅 ,69, 南 , 简装 , 中楼层(共14层)  ,暂无数据, 板楼,41,天津
https://tj.lianjia.com/ershoufang/101126326490.html,格调平园    -  津门湖 ,3室2厅 ,130, 南 北 , 毛坯 , 低楼层(共11层)  ,暂无数据, 板楼,388,天津
https://tj.lianjia.com/ershoufang/101122020022.html,龙吉园    -  下朱庄 ,2室2厅 ,95, 南 北 , 精装 , 高楼层(共15层)  ,暂无数据, 板楼,92,天津
https://tj.lianjia.com/ershoufang/101126021507.html,金台花园    -  八里台 ,2室1厅 ,82, 南 , 简装 , 中楼层(共28层)  ,暂无数据, 板塔结合,38,天津
https://tj.lianjia.com/ershoufang/101127211899.html,月伴湾花园    -  下朱庄 ,2室2厅 ,88, 南 北 , 精装 , 低楼层(共6层)  ,暂无数据, 板楼,80,天津
https://tj.lianjia.com/ershoufang/101126715144.html,倚虹东里    -  万新村 ,2室1厅 ,56, 南 北 , 其他 , 低楼层(共6层)  ,暂无数据, 塔楼,105,天津
https://tj.lianjia.com/ershoufang/101125389033.html,晨星园(河西区)    -  挂甲寺 ,2室1厅 ,112, 南 北 , 其他 , 高楼层(共7层)  ,暂无数据, 板楼,312,天津
https://tj.lianjia.com/ershoufang/101123199283.html,ParkTower景杉    -  中新生态城 ,3室1厅 ,129, 南 北 , 精装 , 中楼层(共23层)  ,暂无数据, 板楼,158,天津
https://tj.lianjia.com/ershoufang/101126565206.html,解放北路    -  小白楼 ,2室0厅 ,43, 南 , 其他 , 低楼层(共2层)  ,暂无数据, 暂无数据,148,天津
