房屋信息链接,房屋地址,户型,房屋面积,朝向,装修,楼层,年份,房屋类型,价格,城市
https://cd.lianjia.com/ershoufang/106120303868.html,润扬北城1号    -  新都城区 ,3室1厅 ,101, 北 , 精装 , 低楼层(共33层) ,2014, 板楼,150,成都
https://cd.lianjia.com/ershoufang/106120048377.html,洛森堡    -  海洋公园 ,3室1厅 ,97, 东南 , 精装 , 高楼层(共34层)  ,暂无数据, 塔楼,128,成都
https://cd.lianjia.com/ershoufang/106116982001.html,万科城市花园    -  川师 ,5室2厅 ,128, 南 , 简装 , 高楼层(共6层)  ,暂无数据, 板塔结合,298,成都
https://cd.lianjia.com/ershoufang/106117452696.html,麓湖生态城浔岭    -  麓湖生态城 ,4室2厅 ,179, 北 , 精装 , 中楼层(共36层) ,2022, 塔楼,648,成都
https://cd.lianjia.com/ershoufang/106116500795.html,兴城融域    -  外光华 ,3室1厅 ,84, 南 , 简装 , 高楼层(共11层)  ,暂无数据, 塔楼,100,成都
https://cd.lianjia.com/ershoufang/106119960043.html,城南名著    -  广都 ,2室2厅 ,86, 东北 , 简装 , 中楼层(共18层)  ,暂无数据, 板塔结合,120,成都
https://cd.lianjia.com/ershoufang/106114578332.html,洲际春天广场    -  光华大道沿线 ,3室2厅 ,80, 西南 , 精装 , 中楼层(共38层)  ,暂无数据, 板塔结合,99,成都
https://cd.lianjia.com/ershoufang/106113535022.html,远大中央公园一期    -  南湖 ,2室1厅 ,83, 南 , 精装 , 高楼层(共33层)  ,暂无数据, 板塔结合,139,成都
https://cd.lianjia.com/ershoufang/106120920554.html,光明城市    -  华阳 ,3室2厅 ,121, 西 , 精装 , 低楼层(共33层)  ,暂无数据, 板塔结合,233,成都
https://cd.lianjia.com/ershoufang/106120786566.html,依云岭    -  金堂 ,2室1厅 ,79, 东北 , 精装 , 中楼层(共18层) ,2013, 板楼,39.8,成都
https://cd.lianjia.com/ershoufang/106120698770.html,鑫苑鑫都汇    -  锦江生态带 ,2室1厅 ,64, 西 , 简装 , 低楼层(共32层)  ,暂无数据, 板塔结合,108,成都
https://cd.lianjia.com/ershoufang/106120747286.html,复兴嘉苑    -  五津 ,3室2厅 ,111, 东南 , 简装 , 高楼层(共14层)  ,暂无数据, 板塔结合,38,成都
https://cd.lianjia.com/ershoufang/106120916628.html,华银美景    -  华府 ,3室2厅 ,96, 东南 , 精装 , 低楼层(共18层)  ,暂无数据, 板塔结合,135,成都
https://cd.lianjia.com/ershoufang/106120214965.html,纬度18    -  东升镇 ,3室2厅 ,122, 东南 , 精装 , 中楼层(共6层)  ,暂无数据, 板楼,121,成都
https://cd.lianjia.com/ershoufang/106120672094.html,洲际银海湾    -  光华大道沿线 ,3室2厅 ,107, 北 , 精装 , 高楼层(共32层) ,2016, 板塔结合,156,成都
https://cd.lianjia.com/ershoufang/106120924975.html,红花教师苑    -  金牛万达 ,2室2厅 ,84, 东南 , 其他 , 中楼层(共7层)  ,暂无数据, 板楼,92,成都
https://cd.lianjia.com/ershoufang/106120886027.html,花样年别样城    -  公兴 ,2室1厅 ,89, 南 , 简装 , 低楼层(共6层)  ,暂无数据, 板楼,76,成都
https://cd.lianjia.com/ershoufang/106120904638.html,新疆石油花园一期    -  南湖 ,2室1厅 ,84, 南 , 精装 , 中楼层(共5层)  ,暂无数据, 板楼,93,成都
https://cd.lianjia.com/ershoufang/106112061101.html,东景康庭    -  十陵 ,3室1厅 ,117, 东南 , 简装 , 低楼层(共6层)  ,暂无数据, 板楼,104.8,成都
https://cd.lianjia.com/ershoufang/106120434621.html,万科金色城市二期    -  大面 ,2室1厅 ,66, 西北 , 其他 , 中楼层(共35层)  ,暂无数据, 板塔结合,115,成都
https://cd.lianjia.com/ershoufang/106120851245.html,保利叶语    -  华府 ,3室1厅 ,90, 北 , 精装 , 高楼层(共32层)  ,暂无数据, 板塔结合,165,成都
https://cd.lianjia.com/ershoufang/106119757714.html,金巴黎    -  阳光城 ,1室1厅 ,51, 南 , 精装 , 高楼层(共18层) ,2008, 板塔结合,26,成都
https://cd.lianjia.com/ershoufang/106120156520.html,华宜上锦    -  华府 ,2室2厅 ,72, 西 , 其他 , 低楼层(共26层) ,2014, 塔楼,107,成都
https://cd.lianjia.com/ershoufang/106120915379.html,尚林幸福城    -  青白江 ,3室1厅 ,91, 西南 , 精装 , 低楼层(共26层) ,2020, 板塔结合,75,成都
https://cd.lianjia.com/ershoufang/106120547005.html,塞纳河畔    -  温江新城 ,4室2厅 ,134, 东南 , 其他 , 中楼层(共6层)  ,暂无数据, 板塔结合,123,成都
https://cd.lianjia.com/ershoufang/106120254760.html,中铁城锦南汇    -  中德 ,2室1厅 ,79, 东 , 简装 , 高楼层(共39层) ,2018, 塔楼,129,成都
https://cd.lianjia.com/ershoufang/106120613285.html,南丽湾    -  航空港 ,3室1厅 ,115, 东南 , 毛坯 , 低楼层(共6层)  ,暂无数据, 板楼,110,成都
https://cd.lianjia.com/ershoufang/106120755724.html,唐安银座    -  崇州城区 ,2室2厅 ,80, 东 , 其他 , 中楼层(共18层)  ,暂无数据, 塔楼,59.8,成都
https://cd.lianjia.com/ershoufang/106120484941.html,航天中二区    -  航天 ,2室1厅 ,66, 东南 , 其他 , 高楼层(共8层)  ,暂无数据, 暂无数据,42.8,成都
https://cd.lianjia.com/ershoufang/106120706004.html,合能四季城二期    -  犀浦 ,3室2厅 ,79, 东南 , 精装 , 低楼层(共28层) ,2014, 板塔结合,88,成都
https://cd.lianjia.com/ershoufang/106119956498.html,筒车巷3号    -  花牌坊 ,3室1厅 ,61, 南 , 毛坯 , 中楼层(共6层)  ,暂无数据, 板楼,68,成都
https://cd.lianjia.com/ershoufang/106120002151.html,恒大未来城二期    -  光华大道沿线 ,3室2厅 ,126, 东南 , 精装 , 高楼层(共32层) ,2020, 板塔结合,156,成都
https://cd.lianjia.com/ershoufang/106120835819.html,金牛万达D组团    -  金牛万达 ,2室1厅 ,74, 西北 , 精装 , 低楼层(共32层) ,2019, 塔楼,122,成都
https://cd.lianjia.com/ershoufang/106119729096.html,听湖九园    -  青白江 ,3室1厅 ,113, 西南 , 其他 , 中楼层(共11层)  ,暂无数据, 板塔结合,81.8,成都
https://cd.lianjia.com/ershoufang/106116033815.html,西宸原著    -  茶店子 ,3室2厅 ,102, 西北 , 精装 , 中楼层(共33层) ,2019, 板塔结合,265,成都
https://cd.lianjia.com/ershoufang/106119762058.html,中海麓湖公馆    -  麓湖生态城 ,4室2厅 ,177, 南 , 精装 , 中楼层(共6层)  ,暂无数据, 塔楼,510,成都
https://cd.lianjia.com/ershoufang/106120002697.html,恒大天府半岛二期    -  锦江生态带 ,5室1厅 ,164, 南 , 毛坯 , 低楼层(共10层)  ,暂无数据, 板塔结合,235,成都
https://cd.lianjia.com/ershoufang/106116204426.html,龙华二期A区    -  大面 ,3室1厅 ,108, 东 , 简装 , 中楼层(共18层) ,2019, 板楼,92,成都
https://cd.lianjia.com/ershoufang/106120056998.html,凤凰栖岸    -  光华大道沿线 ,4室2厅 ,87, 北 , 精装 , 高楼层(共11层)  ,暂无数据, 板塔结合,168,成都
https://cd.lianjia.com/ershoufang/106116209150.html,嘉和世纪城    -  青白江 ,3室2厅 ,108, 东南 , 毛坯 , 中楼层(共26层) ,2019, 板塔结合,65,成都
https://cd.lianjia.com/ershoufang/106117268227.html,花样年别样城    -  公兴 ,3室2厅 ,129, 东 东南 , 精装 , 中楼层(共4层) ,2005, 板楼,118,成都
https://cd.lianjia.com/ershoufang/106117942451.html,中大君悦金沙三期    -  金沙 ,2室2厅 ,86, 西南 东北 , 简装 , 中楼层(共23层)  ,暂无数据, 塔楼,185,成都
https://cd.lianjia.com/ershoufang/106117756200.html,金沙园三期    -  金沙 ,3室1厅 ,104, 东 , 精装 , 中楼层(共6层)  ,暂无数据, 板楼,218,成都
https://cd.lianjia.com/ershoufang/106112010286.html,麓山国际云曦台    -  麓山 ,3室2厅 ,106, 东南 , 毛坯 , 22层  ,暂无数据, 塔楼,165,成都
https://cd.lianjia.com/ershoufang/106114319466.html,翡翠半岛    -  远大 ,2室2厅 ,81, 西南 , 简装 , 中楼层(共18层)  ,暂无数据, 塔楼,123,成都
