房屋信息链接,房屋地址,户型,房屋面积,朝向,装修,楼层,年份,房屋类型,价格,城市
https://sy.lianjia.com/ershoufang/102107612704.html,郡原小石城六期    -  白塔 ,3室2厅 ,87, 南 北 , 精装 , 中楼层(共33层) ,2016, 板塔结合,65.0,沈阳
https://sy.lianjia.com/ershoufang/102108630588.html,汾河家园    -  塔湾 ,1室1厅 ,53, 南 , 精装 , 高楼层(共32层) ,2018, 板楼,52.0,沈阳
https://sy.lianjia.com/ershoufang/102106936646.html,文兴路6号    -  三好街 ,1室1厅 ,39, 南 , 精装 , 中楼层(共6层)  ,暂无数据, 板楼,30.0,沈阳
https://sy.lianjia.com/ershoufang/102106831639.html,华强城一期    -  正良 ,3室1厅 ,102, 西南 , 其他 , 高楼层(共31层) ,2012, 板楼,70.0,沈阳
https://sy.lianjia.com/ershoufang/102108554621.html,淮东社区    -  塔湾 ,1室1厅 ,41, 南 , 其他 , 高楼层(共7层) ,2000, 板楼,36.0,沈阳
https://sy.lianjia.com/ershoufang/102108452012.html,天和人家    -  保工北 ,2室1厅 ,74, 东南 , 简装 , 低楼层(共19层) ,2010, 塔楼,45.0,沈阳
https://sy.lianjia.com/ershoufang/102108528623.html,团结新村    -  启工街 ,2室1厅 ,50, 南 北 , 其他 , 低楼层(共11层) ,2009, 板楼,24.0,沈阳
https://sy.lianjia.com/ershoufang/102108742492.html,兴建小区    -  北陵 ,2室1厅 ,58, 南 北 , 其他 , 中楼层(共7层)  ,暂无数据, 板楼,32.0,沈阳
https://sy.lianjia.com/ershoufang/102108650565.html,华山路小区    -  北行 ,1室1厅 ,38, 南 北 , 其他 , 中楼层(共8层) ,2005, 板楼,18.5,沈阳
https://sy.lianjia.com/ershoufang/102108508710.html,华润悦府    -  三好街 ,3室2厅 ,177, 南 北 , 其他 , 中楼层(共47层) ,2013, 板楼,320.0,沈阳
https://sy.lianjia.com/ershoufang/102108735884.html,龙湖锦璘原著    -  四台子 ,1室1厅 ,40, 南 北 , 其他 , 中楼层(共16层)  ,暂无数据, 板塔结合,18.5,沈阳
https://sy.lianjia.com/ershoufang/102108256593.html,万达广场C组团    -  铁西广场 ,2室1厅 ,90, 西南 , 简装 , 中楼层(共33层) ,2009, 板楼,59.9,沈阳
https://sy.lianjia.com/ershoufang/102108458378.html,坤泰新界    -  长青 ,2室1厅 ,108, 南 北 , 其他 , 中楼层(共28层)  ,暂无数据, 板塔结合,62.0,沈阳
https://sy.lianjia.com/ershoufang/102108385693.html,宏发长岛II    -  西站 ,3室2厅 ,104, 南 北 , 精装 , 高楼层(共18层)  ,暂无数据, 板塔结合,75.0,沈阳
https://sy.lianjia.com/ershoufang/102107045333.html,保利花园三期双河城    -  新立堡 ,3室2厅 ,122, 南 北 , 精装 , 高楼层(共17层) ,2008, 板楼,120.0,沈阳
https://sy.lianjia.com/ershoufang/102107829730.html,风和美苑    -  张士 ,2室2厅 ,93, 南 北 , 其他 , 中楼层(共5层)  ,暂无数据, 板楼,74.5,沈阳
https://sy.lianjia.com/ershoufang/102108441599.html,世纪新城五期    -  奥体 ,2室1厅 ,82, 南 北 , 其他 , 中楼层(共33层) ,2007, 板塔结合,61.0,沈阳
https://sy.lianjia.com/ershoufang/102107330350.html,龙湖春江郦城    -  二十一世纪 ,3室2厅 ,138, 南 北 , 其他 , 中楼层(共33层) ,2016, 板楼,180.0,沈阳
https://sy.lianjia.com/ershoufang/102106401491.html,万科魅力之城    -  西三台子 ,2室1厅 ,101, 南 北 , 精装 , 低楼层(共24层) ,2017, 板楼,70.0,沈阳
https://sy.lianjia.com/ershoufang/102108471302.html,恒大名都一期    -  会展中心 ,2室1厅 ,89, 南 北 , 精装 , 中楼层(共33层) ,2012, 板楼,52.0,沈阳
https://sy.lianjia.com/ershoufang/102108680901.html,太湖国际花园    -  道义 ,2室1厅 ,81, 南 北 , 精装 , 中楼层(共18层)  ,暂无数据, 板楼,48.0,沈阳
https://sy.lianjia.com/ershoufang/102108352589.html,康都    -  上园 ,2室1厅 ,76, 东南 北 , 精装 , 低楼层(共6层) ,2001, 板楼,49.8,沈阳
https://sy.lianjia.com/ershoufang/102108434364.html,祥联大河原著    -  道义 ,3室1厅 ,83, 南 北 , 精装 , 高楼层(共33层) ,2020, 板楼,57.0,沈阳
https://sy.lianjia.com/ershoufang/102104543753.html,新华壹品B区    -  上园 ,1室1厅 ,54, 南 , 简装 , 中楼层(共11层) ,2006, 板楼,45.2,沈阳
https://sy.lianjia.com/ershoufang/102107940640.html,沈铁光复里    -  新华广场 ,2室1厅 ,44, 东南 , 其他 , 中楼层(共6层) ,1999, 板楼,47.0,沈阳
https://sy.lianjia.com/ershoufang/102108464210.html,金地融创峯范    -  首府新区 ,2室1厅 ,79, 南 北 , 精装 , 高楼层(共18层)  ,暂无数据, 暂无数据,65.0,沈阳
https://sy.lianjia.com/ershoufang/102108307095.html,绿城全运村翡翠园A区    -  新市府 ,4室2厅 ,244, 南 北 , 精装 , 中楼层(共5层) ,2012, 板楼,378.0,沈阳
https://sy.lianjia.com/ershoufang/102108537169.html,瑞府    -  东北大马路 ,2室1厅 ,79, 南 , 精装 , 中楼层(共29层)  ,暂无数据, 板楼,69.0,沈阳
https://sy.lianjia.com/ershoufang/102107450463.html,万科西华府南区    -  张士 ,3室2厅 ,129, 南 北 , 其他 , 中楼层(共6层) ,2019, 板楼,169.0,沈阳
https://sy.lianjia.com/ershoufang/102108465006.html,奥园国际城    -  会展中心 ,2室1厅 ,83, 南 北 , 精装 , 高楼层(共33层) ,2014, 板塔结合,61.8,沈阳
https://sy.lianjia.com/ershoufang/102108464210.html,金地融创峯范    -  首府新区 ,2室1厅 ,79, 南 北 , 精装 , 高楼层(共18层)  ,暂无数据, 暂无数据,65.0,沈阳
https://sy.lianjia.com/ershoufang/102108719527.html,明发锦绣华城    -  道义 ,2室2厅 ,88, 东 南 , 精装 , 中楼层(共34层) ,2014, 板楼,43.9,沈阳
https://sy.lianjia.com/ershoufang/102108167085.html,和泰尚东区    -  于洪广场 ,2室1厅 ,85, 南 北 , 精装 , 低楼层(共5层)  ,暂无数据, 板楼,63.0,沈阳
https://sy.lianjia.com/ershoufang/102108758433.html,银亿格兰郡    -  西三台子 ,2室2厅 ,84, 南 北 , 精装 , 低楼层(共6层) ,2016, 板楼,61.0,沈阳
https://sy.lianjia.com/ershoufang/102108652371.html,华府丹郡    -  会展中心 ,2室2厅 ,63, 南 , 其他 , 中楼层(共32层) ,2015, 板楼,39.8,沈阳
https://sy.lianjia.com/ershoufang/102107298317.html,恒大名都三期    -  会展中心 ,3室2厅 ,100, 南 西 北 , 毛坯 , 高楼层(共31层) ,2020, 板楼,55.0,沈阳
https://sy.lianjia.com/ershoufang/102108079476.html,肇工小区    -  工人村 ,3室1厅 ,83, 南 北 , 简装 , 低楼层(共7层) ,2009, 板楼,53.7,沈阳
https://sy.lianjia.com/ershoufang/102108005860.html,恒大滨江左岸    -  东湖 ,3室2厅 ,124, 南 北 , 其他 , 高楼层(共25层) ,2020, 板楼,108.0,沈阳
https://sy.lianjia.com/ershoufang/102107885555.html,府城铭邸    -  新市府 ,3室2厅 ,91, 南 北 , 精装 , 高楼层(共32层) ,2016, 板塔结合,59.9,沈阳
https://sy.lianjia.com/ershoufang/102107447151.html,龙湖锦璘原著    -  四台子 ,2室2厅 ,86, 南 北 , 精装 , 高楼层(共26层) ,2023, 板楼,96.0,沈阳
https://sy.lianjia.com/ershoufang/102107573118.html,爵仕观邸    -  云峰 ,2室1厅 ,52, 东 北 , 简装 , 低楼层(共26层) ,2008, 板楼,48.0,沈阳
https://sy.lianjia.com/ershoufang/102108185585.html,果舍添香二期    -  八王寺 ,2室1厅 ,74, 南 北 , 精装 , 高楼层(共32层) ,2010, 板楼,47.8,沈阳
https://sy.lianjia.com/ershoufang/102107602955.html,恒大雅苑    -  四台子 ,3室2厅 ,108, 南 北 , 毛坯 , 中楼层(共26层) ,2020, 板楼,78.0,沈阳
https://sy.lianjia.com/ershoufang/102108169079.html,凌空六小区    -  滑翔 ,1室1厅 ,46, 南 北 , 其他 , 中楼层(共7层) ,1998, 板楼,21.0,沈阳
https://sy.lianjia.com/ershoufang/102108301435.html,国瑞城    -  东北大马路 ,2室1厅 ,79, 南 北 , 精装 , 中楼层(共30层) ,2015, 板楼,64.0,沈阳
https://sy.lianjia.com/ershoufang/102107628193.html,金地朗悦    -  陶瓷城 ,2室2厅 ,82, 南 北 , 毛坯 , 高楼层(共32层)  ,暂无数据, 板楼,66.0,沈阳
https://sy.lianjia.com/ershoufang/102107971952.html,中海和平之门天际    -  长白 ,3室2厅 ,125, 南 北 , 其他 , 中楼层(共33层) ,2021, 板楼,230.0,沈阳
https://sy.lianjia.com/ershoufang/102106627796.html,金水湾    -  营城子 ,2室1厅 ,63, 南 北 , 简装 , 中楼层(共6层)  ,暂无数据, 板楼,25.0,沈阳
https://sy.lianjia.com/ershoufang/102102536092.html,亿博隆河谷    -  白塔 ,3室2厅 ,146, 南 北 , 精装 , 低楼层(共34层) ,2016, 板楼,82.0,沈阳
https://sy.lianjia.com/ershoufang/102107964965.html,碧桂园银河城星荟    -  于洪新城 ,2室1厅 ,78, 南 北 , 精装 , 中楼层(共27层) ,2016, 板楼,56.5,沈阳
https://sy.lianjia.com/ershoufang/102107341357.html,佳和新城    -  方家栏 ,2室2厅 ,80, 南 北 , 精装 , 中楼层(共6层) ,2003, 板楼,46.0,沈阳
https://sy.lianjia.com/ershoufang/102108677353.html,沈电社区    -  马路湾 ,2室1厅 ,55, 东 西 , 简装 , 低楼层(共9层) ,1999, 板楼,53.0,沈阳
https://sy.lianjia.com/ershoufang/102108727755.html,新兴花园    -  南湖 ,1室1厅 ,45, 东 , 精装 , 低楼层(共41层) ,2014, 板塔结合,59.9,沈阳
https://sy.lianjia.com/ershoufang/102107406706.html,恒大雅苑    -  四台子 ,3室2厅 ,115, 南 北 , 毛坯 , 低楼层(共32层) ,2022, 板楼,77.2,沈阳
https://sy.lianjia.com/ershoufang/102108619002.html,幸福岛    -  霁虹 ,2室1厅 ,105, 南 北 , 其他 , 高楼层(共27层) ,2008, 板楼,99.8,沈阳
https://sy.lianjia.com/ershoufang/102108647539.html,和景嘉园    -  北市 ,1室1厅 ,48, 南 , 精装 , 中楼层(共30层)  ,暂无数据, 暂无数据,55.8,沈阳
https://sy.lianjia.com/ershoufang/102108201250.html,大万莲社区    -  万柳塘 ,3室1厅 ,93, 南 北 , 其他 , 高楼层(共7层) ,1992, 板楼,33.0,沈阳
https://sy.lianjia.com/ershoufang/102108229247.html,华海雅馨苑    -  长客 ,2室2厅 ,87, 南 北 , 简装 , 低楼层(共6层)  ,暂无数据, 板楼,55.0,沈阳
https://sy.lianjia.com/ershoufang/102108296480.html,五三小区    -  北行 ,2室1厅 ,55, 南 北 , 精装 , 低楼层(共7层)  ,暂无数据, 板楼,78.0,沈阳
https://sy.lianjia.com/ershoufang/102106837336.html,汇置尚岛    -  道义 ,2室2厅 ,86, 南 北 , 毛坯 , 低楼层(共33层) ,2022, 板楼,68.0,沈阳
https://sy.lianjia.com/ershoufang/102108560134.html,碧桂园公园印象    -  新市府 ,4室2厅 ,160, 南 北 , 其他 , 低楼层(共6层) ,2019, 板楼,155.0,沈阳
https://sy.lianjia.com/ershoufang/102108570931.html,明廉小区    -  塔湾 ,1室1厅 ,42, 南 北 , 精装 , 低楼层(共7层) ,2015, 板楼,26.8,沈阳
https://sy.lianjia.com/ershoufang/102108613220.html,龙湖双珑原著（二期）    -  未知商圈 ,3室2厅 ,133, 南 北 , 毛坯 , 高楼层(共13层)  ,暂无数据, 暂无数据,105.0,沈阳
https://sy.lianjia.com/ershoufang/102108185585.html,果舍添香二期    -  八王寺 ,2室1厅 ,74, 南 北 , 精装 , 高楼层(共32层) ,2010, 板楼,47.8,沈阳
https://sy.lianjia.com/ershoufang/102108169079.html,凌空六小区    -  滑翔 ,1室1厅 ,46, 南 北 , 其他 , 中楼层(共7层) ,1998, 板楼,21.0,沈阳
https://sy.lianjia.com/ershoufang/102107602955.html,恒大雅苑    -  四台子 ,3室2厅 ,108, 南 北 , 毛坯 , 中楼层(共26层) ,2020, 板楼,78.0,沈阳
https://sy.lianjia.com/ershoufang/102107341357.html,佳和新城    -  方家栏 ,2室2厅 ,80, 南 北 , 精装 , 中楼层(共6层) ,2003, 板楼,46.0,沈阳
https://sy.lianjia.com/ershoufang/102107885555.html,府城铭邸    -  新市府 ,3室2厅 ,91, 南 北 , 精装 , 高楼层(共32层) ,2016, 板塔结合,59.9,沈阳
https://sy.lianjia.com/ershoufang/102107406706.html,恒大雅苑    -  四台子 ,3室2厅 ,115, 南 北 , 毛坯 , 低楼层(共32层) ,2022, 板楼,77.2,沈阳
https://sy.lianjia.com/ershoufang/102102536092.html,亿博隆河谷    -  白塔 ,3室2厅 ,146, 南 北 , 精装 , 低楼层(共34层) ,2016, 板楼,82.0,沈阳
https://sy.lianjia.com/ershoufang/102108719527.html,明发锦绣华城    -  道义 ,2室2厅 ,88, 东 南 , 精装 , 中楼层(共34层) ,2014, 板楼,43.9,沈阳
https://sy.lianjia.com/ershoufang/102108217132.html,维华商业广场    -  北行 ,2室1厅 ,73, 南 , 简装 , 低楼层(共34层)  ,暂无数据, 板楼,27.0,沈阳
https://sy.lianjia.com/ershoufang/102108633870.html,中海和悦府二期    -  荷兰村 ,2室2厅 ,89, 南 北 , 精装 , 低楼层(共34层)  ,暂无数据, 板楼,77.0,沈阳
https://sy.lianjia.com/ershoufang/102108485656.html,金辉优步湖畔    -  丁香湖 ,3室2厅 ,100, 南 北 , 精装 , 高楼层(共12层) ,2019, 板楼,79.0,沈阳
https://sy.lianjia.com/ershoufang/102108434212.html,SR国际新城    -  奥体 ,4室2厅 ,220, 南 北 , 其他 , 低楼层(共30层) ,2009, 板楼,134.0,沈阳
https://sy.lianjia.com/ershoufang/102108695428.html,碧桂园银河城锦园    -  于洪新城 ,3室2厅 ,116, 南 北 , 毛坯 , 中楼层(共33层) ,2015, 板楼,85.0,沈阳
https://sy.lianjia.com/ershoufang/102107939800.html,恒大盛京印象    -  新市府 ,3室1厅 ,148, 南 北 , 其他 , 中楼层(共5层) ,2020, 板楼,166.0,沈阳
https://sy.lianjia.com/ershoufang/102106837336.html,汇置尚岛    -  道义 ,2室2厅 ,86, 南 北 , 毛坯 , 低楼层(共33层) ,2022, 板楼,68.0,沈阳
https://sy.lianjia.com/ershoufang/102107453127.html,招商雍景湾    -  于洪新城 ,3室2厅 ,109, 南 北 , 精装 , 高楼层(共33层)  ,暂无数据, 板楼,102.0,沈阳
https://sy.lianjia.com/ershoufang/102108634355.html,五七里小区    -  北市 ,3室1厅 ,93, 南 北 , 简装 , 中楼层(共7层)  ,暂无数据, 暂无数据,54.0,沈阳
https://sy.lianjia.com/ershoufang/102108564969.html,华府丹郡    -  会展中心 ,3室1厅 ,151, 南 西 北 , 毛坯 , 低楼层(共33层) ,2018, 板楼,73.8,沈阳
https://sy.lianjia.com/ershoufang/102108801073.html,恒大江湾一二期    -  东湖 ,3室1厅 ,121, 南 北 , 简装 , 低楼层(共24层) ,2016, 板楼,84.0,沈阳
https://sy.lianjia.com/ershoufang/102107902105.html,吾悦华府    -  道义 ,2室1厅 ,78, 南 北 , 毛坯 , 高楼层(共33层) ,2021, 板楼,54.0,沈阳
https://sy.lianjia.com/ershoufang/102108506808.html,万科花园新城    -  方家栏 ,3室2厅 ,166, 南 北 , 其他 , 低楼层(共6层)  ,暂无数据, 板楼,110.0,沈阳
https://sy.lianjia.com/ershoufang/102108665339.html,万科明日之光C区    -  会展中心 ,1室1厅 ,57, 东南 , 精装 , 低楼层(共34层)  ,暂无数据, 板塔结合,20.8,沈阳
https://sy.lianjia.com/ershoufang/102108677353.html,沈电社区    -  马路湾 ,2室1厅 ,55, 东 西 , 简装 , 低楼层(共9层) ,1999, 板楼,53.0,沈阳
https://sy.lianjia.com/ershoufang/102108727755.html,新兴花园    -  南湖 ,1室1厅 ,45, 东 , 精装 , 低楼层(共41层) ,2014, 板塔结合,59.9,沈阳
https://sy.lianjia.com/ershoufang/102108268569.html,阳光城和平101    -  南湖 ,3室2厅 ,178, 南 北 , 其他 , 中楼层(共29层) ,2023, 板楼,360.0,沈阳
https://sy.lianjia.com/ershoufang/102108756166.html,恒大名都一期    -  会展中心 ,3室1厅 ,105, 东 南 , 精装 , 低楼层(共33层) ,2012, 板楼,54.0,沈阳
https://sy.lianjia.com/ershoufang/102108296480.html,五三小区    -  北行 ,2室1厅 ,55, 南 北 , 精装 , 低楼层(共7层)  ,暂无数据, 板楼,78.0,沈阳
