房屋信息链接,房屋地址,户型,房屋面积,朝向,装修,楼层,年份,房屋类型,价格,城市
https://sy.lianjia.com/ershoufang/102107612704.html,郡原小石城六期    -  白塔 ,3室2厅 ,87, 南 北 , 精装 , 中楼层(共33层) ,2016, 板塔结合,65,沈阳
https://sy.lianjia.com/ershoufang/102108630588.html,汾河家园    -  塔湾 ,1室1厅 ,53, 南 , 精装 , 高楼层(共32层) ,2018, 板楼,52,沈阳
https://sy.lianjia.com/ershoufang/102106936646.html,文兴路6号    -  三好街 ,1室1厅 ,39, 南 , 精装 , 中楼层(共6层)  ,暂无数据, 板楼,30,沈阳
https://sy.lianjia.com/ershoufang/102106831639.html,华强城一期    -  正良 ,3室1厅 ,102, 西南 , 其他 , 高楼层(共31层) ,2012, 板楼,70,沈阳
https://sy.lianjia.com/ershoufang/102108554621.html,淮东社区    -  塔湾 ,1室1厅 ,41, 南 , 其他 , 高楼层(共7层) ,2000, 板楼,36,沈阳
https://sy.lianjia.com/ershoufang/102108452012.html,天和人家    -  保工北 ,2室1厅 ,74, 东南 , 简装 , 低楼层(共19层) ,2010, 塔楼,45,沈阳
https://sy.lianjia.com/ershoufang/102108528623.html,团结新村    -  启工街 ,2室1厅 ,50, 南 北 , 其他 , 低楼层(共11层) ,2009, 板楼,24,沈阳
https://sy.lianjia.com/ershoufang/102108742492.html,兴建小区    -  北陵 ,2室1厅 ,58, 南 北 , 其他 , 中楼层(共7层)  ,暂无数据, 板楼,32,沈阳
https://sy.lianjia.com/ershoufang/102108650565.html,华山路小区    -  北行 ,1室1厅 ,38, 南 北 , 其他 , 中楼层(共8层) ,2005, 板楼,18.5,沈阳
https://sy.lianjia.com/ershoufang/102108508710.html,华润悦府    -  三好街 ,3室2厅 ,177, 南 北 , 其他 , 中楼层(共47层) ,2013, 板楼,320,沈阳
https://sy.lianjia.com/ershoufang/102108735884.html,龙湖锦璘原著    -  四台子 ,1室1厅 ,40, 南 北 , 其他 , 中楼层(共16层)  ,暂无数据, 板塔结合,18.5,沈阳
https://sy.lianjia.com/ershoufang/102108256593.html,万达广场C组团    -  铁西广场 ,2室1厅 ,90, 西南 , 简装 , 中楼层(共33层) ,2009, 板楼,59.9,沈阳
https://sy.lianjia.com/ershoufang/102108458378.html,坤泰新界    -  长青 ,2室1厅 ,108, 南 北 , 其他 , 中楼层(共28层)  ,暂无数据, 板塔结合,62,沈阳
https://sy.lianjia.com/ershoufang/102108385693.html,宏发长岛II    -  西站 ,3室2厅 ,104, 南 北 , 精装 , 高楼层(共18层)  ,暂无数据, 板塔结合,75,沈阳
https://sy.lianjia.com/ershoufang/102107045333.html,保利花园三期双河城    -  新立堡 ,3室2厅 ,122, 南 北 , 精装 , 高楼层(共17层) ,2008, 板楼,120,沈阳
https://sy.lianjia.com/ershoufang/102107829730.html,风和美苑    -  张士 ,2室2厅 ,93, 南 北 , 其他 , 中楼层(共5层)  ,暂无数据, 板楼,74.5,沈阳
https://sy.lianjia.com/ershoufang/102108441599.html,世纪新城五期    -  奥体 ,2室1厅 ,82, 南 北 , 其他 , 中楼层(共33层) ,2007, 板塔结合,61,沈阳
https://sy.lianjia.com/ershoufang/102107330350.html,龙湖春江郦城    -  二十一世纪 ,3室2厅 ,138, 南 北 , 其他 , 中楼层(共33层) ,2016, 板楼,180,沈阳
https://sy.lianjia.com/ershoufang/102106401491.html,万科魅力之城    -  西三台子 ,2室1厅 ,101, 南 北 , 精装 , 低楼层(共24层) ,2017, 板楼,70,沈阳
https://sy.lianjia.com/ershoufang/102108471302.html,恒大名都一期    -  会展中心 ,2室1厅 ,89, 南 北 , 精装 , 中楼层(共33层) ,2012, 板楼,52,沈阳
https://sy.lianjia.com/ershoufang/102108680901.html,太湖国际花园    -  道义 ,2室1厅 ,81, 南 北 , 精装 , 中楼层(共18层)  ,暂无数据, 板楼,48,沈阳
https://sy.lianjia.com/ershoufang/102108352589.html,康都    -  上园 ,2室1厅 ,76, 东南 北 , 精装 , 低楼层(共6层) ,2001, 板楼,49.8,沈阳
https://sy.lianjia.com/ershoufang/102108434364.html,祥联大河原著    -  道义 ,3室1厅 ,83, 南 北 , 精装 , 高楼层(共33层) ,2020, 板楼,57,沈阳
https://sy.lianjia.com/ershoufang/102104543753.html,新华壹品B区    -  上园 ,1室1厅 ,54, 南 , 简装 , 中楼层(共11层) ,2006, 板楼,45.2,沈阳
