房屋信息链接,房屋地址,户型,房屋面积,朝向,装修,楼层,年份,房屋类型,价格,城市
https://sz.lianjia.com/ershoufang/105114419606.html,英郡假日广场    -  丹竹头 ,3室2厅 ,88, 南 , 精装 , 高楼层(共30层) ,2018, 板楼,330,深圳
https://sz.lianjia.com/ershoufang/105115223292.html,金色都汇    -  春风路 ,2室1厅 ,67, 东南 , 精装 , 低楼层(共30层) ,2004, 塔楼,330,深圳
https://sz.lianjia.com/ershoufang/105118645482.html,新新家园    -  石厦 ,3室2厅 ,98, 东南 , 精装 , 高楼层(共32层) ,2002, 板塔结合,890,深圳
https://sz.lianjia.com/ershoufang/105117399574.html,汇鑫花园    -  黄贝岭 ,3室1厅 ,64, 东 , 其他 , 中楼层(共26层) ,2002, 板塔结合,310,深圳
https://sz.lianjia.com/ershoufang/105118228565.html,城市天地广场    -  万象城 ,1室1厅 ,42, 东南 , 精装 , 中楼层(共41层) ,2005, 板塔结合,175,深圳
https://sz.lianjia.com/ershoufang/105115955195.html,海滨广场    -  皇岗 ,2室1厅 ,82, 南 , 简装 , 低楼层(共19层) ,1994, 板塔结合,378,深圳
https://sz.lianjia.com/ershoufang/105115493656.html,金地上塘道二期    -  红山 ,2室1厅 ,63, 东南 , 其他 , 高楼层(共31层) ,2011, 塔楼,380,深圳
https://sz.lianjia.com/ershoufang/105117006043.html,祥云天都世纪大厦    -  新洲 ,1室1厅 ,50, 东南 , 精装 , 中楼层(共32层) ,2007, 板塔结合,280,深圳
https://sz.lianjia.com/ershoufang/105118636003.html,奥园翡翠东湾    -  坪山 ,4室2厅 ,106, 西南 , 精装 , 32层 ,2019, 板塔结合,290,深圳
https://sz.lianjia.com/ershoufang/105116766064.html,华业玫瑰四季馨园一期    -  红山 ,1室1厅 ,44, 西南 , 其他 , 低楼层(共32层) ,2015, 塔楼,320,深圳
https://sz.lianjia.com/ershoufang/105118719958.html,中海月朗苑    -  坂田 ,3室1厅 ,69, 南 , 精装 , 低楼层(共18层) ,2006, 板楼,400,深圳
https://sz.lianjia.com/ershoufang/105118770842.html,太古城南    -  深圳湾 ,2室1厅 ,51, 东南 , 精装 , 低楼层(共24层) ,2010, 塔楼,650,深圳
https://sz.lianjia.com/ershoufang/105118603763.html,天然居    -  香梅北 ,3室2厅 ,117, 南 , 简装 , 中楼层(共31层) ,2002, 塔楼,1147,深圳
https://sz.lianjia.com/ershoufang/105118128873.html,深城公寓    -  笋岗 ,1室1厅 ,38, 东南 , 简装 , 中楼层(共31层) ,2002, 板塔结合,168,深圳
https://sz.lianjia.com/ershoufang/105118748209.html,雅豪祥苑    -  龙岗中心城 ,3室2厅 ,118, 南 , 其他 , 低楼层(共6层) ,2003, 板楼,290,深圳
https://sz.lianjia.com/ershoufang/105118452332.html,大冲新城花园    -  科技园 ,1室0厅 ,39, 南 , 其他 , 42层 ,2016, 塔楼,280,深圳
https://sz.lianjia.com/ershoufang/105118941894.html,昊龙华庭    -  平湖 ,3室2厅 ,90, 东南 , 其他 , 低楼层(共34层) ,2021, 塔楼,300,深圳
https://sz.lianjia.com/ershoufang/105118795481.html,中熙珑湾    -  沙井 ,3室2厅 ,89, 东南 , 毛坯 , 中楼层(共48层) ,2023, 暂无数据,345,深圳
https://sz.lianjia.com/ershoufang/105118528229.html,宇宏健康花城    -  布吉石芽岭 ,3室1厅 ,86, 东南 南 , 精装 , 33层 ,2016, 板塔结合,550,深圳
https://sz.lianjia.com/ershoufang/105115498492.html,雅然居    -  新安 ,3室2厅 ,101, 东南 , 简装 , 中楼层(共18层) ,2004, 板塔结合,498,深圳
