房屋信息链接,房屋地址,户型,房屋面积,朝向,装修,楼层,年份,房屋类型,价格,城市
https://xa.lianjia.com/ershoufang/101126652541.html,泰和居    -  经开南 ,2室1厅 ,68, 西南 , 其他 , 高楼层(共25层)  ,暂无数据, 塔楼,54,西安
https://xa.lianjia.com/ershoufang/101127051923.html,绿地璀璨天城    -  国际港务区 ,2室2厅 ,87, 南 北 , 精装 , 中楼层(共34层)  ,暂无数据, 板塔结合,130,西安
https://xa.lianjia.com/ershoufang/101124471504.html,中海凯旋门    -  曲江 ,3室2厅 ,94, 南 , 精装 , 高楼层(共18层)  ,暂无数据, 板楼,206,西安
https://xa.lianjia.com/ershoufang/101124268301.html,锦绣天下一期    -  经开北 ,2室1厅 ,102, 南 北 , 毛坯 , 中楼层(共9层)  ,暂无数据, 板楼,110,西安
https://xa.lianjia.com/ershoufang/101123947993.html,大华曲江公园世家二期    -  曲江 ,2室2厅 ,90, 南 , 简装 , 中楼层(共16层)  ,暂无数据, 板塔结合,118,西安
https://xa.lianjia.com/ershoufang/101123814832.html,天然居二期    -  城东 ,3室1厅 ,118, 南 北 , 其他 , 中楼层(共18层)  ,暂无数据, 板塔结合,138,西安
https://xa.lianjia.com/ershoufang/101123093248.html,富力白鹭湾南区    -  浐灞周边 ,3室2厅 ,103, 南 北 , 其他 , 高楼层(共33层)  ,暂无数据, 板塔结合,113,西安
https://xa.lianjia.com/ershoufang/101111599326.html,白桦林家愿    -  高陵 ,3室2厅 ,123, 南 北 , 毛坯 , 低楼层(共27层)  ,暂无数据, 板塔结合,77,西安
https://xa.lianjia.com/ershoufang/101119159703.html,群星莱骊一二期    -  临潼 ,3室2厅 ,113, 南 西 , 简装 , 高楼层(共18层)  ,暂无数据, 板塔结合,79,西安
https://xa.lianjia.com/ershoufang/101119444762.html,逸翠园第一期    -  逸翠园 ,3室1厅 ,143, 南 北 , 简装 , 中楼层(共18层)  ,暂无数据, 板楼,388,西安
https://xa.lianjia.com/ershoufang/101120171679.html,普华熙岸    -  纺织城 ,3室2厅 ,117, 南 , 其他 , 低楼层(共33层)  ,暂无数据, 板塔结合,165,西安
https://xa.lianjia.com/ershoufang/101123455770.html,清凉山居    -  城南 ,3室2厅 ,120, 南 , 其他 , 高楼层(共32层)  ,暂无数据, 板塔结合,199,西安
https://xa.lianjia.com/ershoufang/101127539795.html,爱尚泾渭    -  高陵 ,2室1厅 ,38, 北 , 其他 , 低楼层(共16层)  ,暂无数据, 板塔结合,27,西安
https://xa.lianjia.com/ershoufang/101126666960.html,金地湖城大境天境    -  曲江 ,1室1厅 ,57, 南 , 精装 , 15层  ,暂无数据, 板楼,153,西安
https://xa.lianjia.com/ershoufang/101121837394.html,凤凰城    -  西咸 ,2室2厅 ,96, 南 北 , 简装 , 中楼层(共6层)  ,暂无数据, 板塔结合,89,西安
https://xa.lianjia.com/ershoufang/101124900526.html,山水美树    -  长安 ,3室1厅 ,131, 南 北 , 毛坯 , 中楼层(共11层)  ,暂无数据, 板楼,240,西安
https://xa.lianjia.com/ershoufang/101125350317.html,兴水苑    -  长安 ,3室2厅 ,126, 南 北 , 精装 , 低楼层(共7层)  ,暂无数据, 板楼,109,西安
https://xa.lianjia.com/ershoufang/101124393243.html,启航029小区    -  城南 ,3室2厅 ,139, 南 北 , 简装 , 高楼层(共30层)  ,暂无数据, 板楼,139,西安
https://xa.lianjia.com/ershoufang/101127404064.html,超英长乐家园    -  城东 ,4室2厅 ,191, 南 , 精装 , 中楼层(共18层)  ,暂无数据, 板塔结合,214,西安
https://xa.lianjia.com/ershoufang/101126105844.html,万景荔知湾    -  长安 ,3室2厅 ,106, 南 北 , 精装 , 高楼层(共33层)  ,暂无数据, 板塔结合,163,西安
https://xa.lianjia.com/ershoufang/101126119499.html,万科金色悦城    -  城西 ,2室2厅 ,80, 南 , 精装 , 高楼层(共33层)  ,暂无数据, 板楼,106,西安
https://xa.lianjia.com/ershoufang/101126521945.html,绿地世纪城A区    -  锦业路 ,2室2厅 ,86, 南 , 其他 , 高楼层(共18层)  ,暂无数据, 板塔结合,149,西安
https://xa.lianjia.com/ershoufang/101120245129.html,宏府麒麟山    -  城西 ,2室2厅 ,75, 东北 , 精装 , 中楼层(共33层)  ,暂无数据, 板塔结合,99,西安
