房屋信息链接,房屋地址,户型,房屋面积,朝向,装修,楼层,年份,房屋类型,价格,城市
https://cq.lianjia.com/ershoufang/106116574385.html,协信天骄溪悦    -  李家沱 ,3室1厅 ,97, 南 , 毛坯 , 中楼层(共18层)  ,暂无数据, 板塔结合,65,重庆
https://cq.lianjia.com/ershoufang/106112308399.html,中建滨江星城    -  李家沱 ,3室2厅 ,111, 东南 , 毛坯 , 中楼层(共33层)  ,暂无数据, 板塔结合,69,重庆
https://cq.lianjia.com/ershoufang/106114423252.html,昌龙城市花园    -  南坪 ,3室2厅 ,97, 西南 , 精装 , 18层 ,2003, 板塔结合,86,重庆
https://cq.lianjia.com/ershoufang/106115034290.html,西阅星辰A区    -  西永 ,3室2厅 ,98, 东南 , 精装 , 中楼层(共18层) ,2020, 板塔结合,88,重庆
https://cq.lianjia.com/ershoufang/106110919966.html,湖岸家园A区    -  大学城 ,2室2厅 ,81, 南 北 , 毛坯 , 低楼层(共11层) ,2011, 板塔结合,45,重庆
https://cq.lianjia.com/ershoufang/106111394850.html,国博领馆三期    -  悦来 ,3室2厅 ,83, 东南 , 毛坯 , 42层  ,暂无数据, 塔楼,66.5,重庆
https://cq.lianjia.com/ershoufang/106112820150.html,长嘉汇五期    -  南滨路 ,3室2厅 ,134, 西南 , 毛坯 , 49层  ,暂无数据, 板塔结合,225,重庆
https://cq.lianjia.com/ershoufang/106113750947.html,华润二十四城二期    -  谢家湾 ,2室2厅 ,77, 南 , 简装 , 中楼层(共26层) ,2012, 板塔结合,145,重庆
https://cq.lianjia.com/ershoufang/106114758652.html,鲁能领秀城4街区北区    -  茶园新区 ,3室2厅 ,87, 西南 , 精装 , 24层  ,暂无数据, 板塔结合,98,重庆
https://cq.lianjia.com/ershoufang/106115656335.html,卓越中寰    -  动物园 ,2室1厅 ,42, 西北 , 精装 , 28层 ,2019, 塔楼,65,重庆
https://cq.lianjia.com/ershoufang/106117659904.html,和记黄埔玥湖园1号    -  照母山 ,3室2厅 ,137, 南 , 精装 , 低楼层(共8层) ,2016, 板楼,285,重庆
https://cq.lianjia.com/ershoufang/106112076051.html,龙湖U城四组团    -  大学城 ,3室2厅 ,137, 南 北 , 精装 , 低楼层(共18层) ,2012, 板塔结合,189,重庆
https://cq.lianjia.com/ershoufang/106110149710.html,锦御    -  西永 ,2室2厅 ,84, 南 西南 , 精装 , 中楼层(共30层) ,2018, 塔楼,73,重庆
https://cq.lianjia.com/ershoufang/106115731101.html,洋河一村四海小区    -  观音桥 ,2室2厅 ,92, 南 , 精装 , 低楼层(共9层)  ,暂无数据, 板楼,72,重庆
https://cq.lianjia.com/ershoufang/106106575394.html,锦御    -  西永 ,5室2厅 ,122, 南 , 毛坯 , 低楼层(共31层) ,2018, 塔楼,98,重庆
https://cq.lianjia.com/ershoufang/106119664854.html,华润中央公园    -  大石坝 ,2室1厅 ,85, 西南 , 精装 , 24层 ,2011, 板塔结合,103,重庆
https://cq.lianjia.com/ershoufang/106119811216.html,恒大林溪郡    -  西彭 ,3室1厅 ,92, 东南 , 精装 , 中楼层(共28层) ,2020, 板塔结合,49.8,重庆
https://cq.lianjia.com/ershoufang/106118496728.html,华宇静园    -  石桥铺 ,2室2厅 ,83, 东北 , 其他 , 11层  ,暂无数据, 塔楼,38,重庆
https://cq.lianjia.com/ershoufang/106116969037.html,金科中央华府东区    -  茶园新区 ,3室2厅 ,82, 东 , 精装 , 17层 ,2018, 塔楼,85,重庆
https://cq.lianjia.com/ershoufang/106118988929.html,华一村    -  两路口 ,2室1厅 ,63, 东 , 精装 , 16层  ,暂无数据, 板楼,31,重庆
https://cq.lianjia.com/ershoufang/106119330906.html,在水一方    -  回兴 ,2室1厅 ,47, 东南 , 精装 , 低楼层(共6层) ,2006, 板楼,35,重庆
https://cq.lianjia.com/ershoufang/106117325952.html,汉渝路    -  两路 ,3室2厅 ,101, 东南 , 精装 , 低楼层(共9层)  ,暂无数据, 板楼,53.8,重庆
https://cq.lianjia.com/ershoufang/106117417551.html,联发瞰青    -  翠云 ,4室2厅 ,149, 南 , 精装 , 高楼层(共33层) ,2016, 塔楼,131,重庆
https://cq.lianjia.com/ershoufang/106119488871.html,绿城晓风印月    -  九曲河 ,4室2厅 ,133, 南 , 毛坯 , 中楼层(共12层) ,2021, 板楼,218,重庆
