房屋信息链接,房屋地址,户型,房屋面积,朝向,装修,楼层,年份,房屋类型,价格,城市
https://sh.lianjia.com/ershoufang/107111383773.html,邯郸小区    -  五角场 ,2室1厅 ,51, 南 北 , 精装 , 高楼层(共6层) ,1993, 板楼,225,上海
https://sh.lianjia.com/ershoufang/107111069435.html,浦三路628弄    -  南码头 ,2室1厅 ,67, 南 , 简装 , 高楼层(共6层) ,1993, 板楼,342,上海
https://sh.lianjia.com/ershoufang/107111217926.html,长风二村风荷园    -  长风 ,2室1厅 ,51, 南 , 简装 , 低楼层(共6层) ,1983, 板楼,298,上海
https://sh.lianjia.com/ershoufang/107109888311.html,石化十二村    -  金山新城 ,2室1厅 ,48, 南 , 简装 , 高楼层(共6层) ,1982, 板楼,40,上海
https://sh.lianjia.com/ershoufang/107111188442.html,控江四村    -  黄兴公园 ,1室1厅 ,38, 北 , 精装 , 高楼层(共6层) ,2010, 板楼,150,上海
https://sh.lianjia.com/ershoufang/107110943309.html,东滩花园    -  陈家镇 ,2室1厅 ,151, 南 , 毛坯 , 低楼层(共2层) ,2021, 暂无数据,435,上海
https://sh.lianjia.com/ershoufang/107110378935.html,龙州小区    -  华东理工 ,2室1厅 ,64, 南 北 , 精装 , 高楼层(共6层) ,1994, 板楼,329,上海
https://sh.lianjia.com/ershoufang/107110195283.html,金樟花苑    -  金杨 ,2室1厅 ,78, 南 , 简装 , 中楼层(共6层) ,1996, 板楼,450,上海
https://sh.lianjia.com/ershoufang/107111255272.html,新湖明珠城（一二期）    -  武宁 ,3室2厅 ,119, 南 北 , 精装 , 25层 ,2005, 板楼,1088,上海
https://sh.lianjia.com/ershoufang/107110877602.html,泰和新城(泰和西路3463弄)    -  顾村 ,3室1厅 ,86, 南 , 精装 , 中楼层(共6层) ,1995, 板楼,239,上海
https://sh.lianjia.com/ershoufang/107110941481.html,祥东小区(虹口)    -  曲阳 ,2室0厅 ,45, 南 北 , 简装 , 中楼层(共6层) ,1980, 板楼,305,上海
https://sh.lianjia.com/ershoufang/107108116341.html,外冈新苑    -  外冈 ,2室1厅 ,57, 南 , 简装 , 低楼层(共10层) ,2013, 板楼,78,上海
https://sh.lianjia.com/ershoufang/107107635870.html,宜川六村    -  甘泉宜川 ,1室1厅 ,43, 南 , 毛坯 , 低楼层(共7层) ,1985, 板楼,173,上海
https://sh.lianjia.com/ershoufang/107111223552.html,石化九村    -  金山新城 ,2室1厅 ,45, 南 , 精装 , 中楼层(共5层) ,1980, 板楼,49.9,上海
https://sh.lianjia.com/ershoufang/107110404846.html,东园一村    -  陆家嘴 ,1室1厅 ,33, 南 , 简装 , 6层 ,1987, 板楼,304,上海
https://sh.lianjia.com/ershoufang/107110959986.html,铭晖西郊苑    -  北新泾 ,2室1厅 ,94, 南 , 精装 , 中楼层(共6层) ,2002, 板楼,680,上海
https://sh.lianjia.com/ershoufang/107111156927.html,圣骊澳门苑    -  长寿路 ,3室2厅 ,136, 南 北 , 精装 , 高楼层(共24层) ,2005, 板楼,1250,上海
https://sh.lianjia.com/ershoufang/107109912393.html,城中花园    -  康桥 ,3室2厅 ,143, 南 , 精装 , 中楼层(共16层) ,2006, 板楼,635,上海
https://sh.lianjia.com/ershoufang/107111328229.html,明卫佳苑北区(东平北路755弄)    -  金山新城 ,2室2厅 ,91, 南 , 精装 , 低楼层(共18层)  ,暂无数据, 暂无数据,130,上海
https://sh.lianjia.com/ershoufang/107111364828.html,新里波洛克公馆    -  重固 ,3室2厅 ,91, 东南 , 精装 , 中楼层(共16层) ,2019, 板楼,280,上海
https://sh.lianjia.com/ershoufang/107111383353.html,佘北家园茸腾苑    -  佘山 ,3室1厅 ,96, 西北 , 其他 , 中楼层(共7层) ,2018, 暂无数据,240,上海
https://sh.lianjia.com/ershoufang/107111270134.html,殷行路571弄    -  中原 ,1室1厅 ,35, 南 , 简装 , 高楼层(共6层) ,1987, 板楼,129,上海
https://sh.lianjia.com/ershoufang/107110471321.html,同济新村    -  鞍山 ,3室1厅 ,75, 南 , 简装 , 高楼层(共6层) ,1993, 板楼,528,上海
https://sh.lianjia.com/ershoufang/107110454176.html,东三小区    -  南码头 ,1室0厅 ,30, 南 , 简装 , 高楼层(共6层) ,1982, 板楼,148,上海
https://sh.lianjia.com/ershoufang/107110749074.html,浦江瑞和城陆街区（南）    -  闵浦 ,2室2厅 ,72, 南 , 毛坯 , 高楼层(共18层) ,2017, 暂无数据,195,上海
