房屋信息链接,房屋地址,户型,房屋面积,朝向,装修,楼层,年份,房屋类型,价格,城市
https://gz.lianjia.com/ershoufang/108406152645.html,富力桃园    -  罗冲围 ,2室1厅 ,85, 南 , 精装 , 中楼层(共30层) ,2004, 塔楼,258,广州
https://gz.lianjia.com/ershoufang/108404988038.html,小北路    -  小北 ,2室1厅 ,55, 南 , 简装 , 中楼层(共9层)  ,暂无数据, 塔楼,200,广州
https://gz.lianjia.com/ershoufang/108405587747.html,南航新村    -  新市 ,3室1厅 ,85, 西南 , 简装 , 高楼层(共17层) ,1997, 塔楼,154,广州
https://gz.lianjia.com/ershoufang/108406232852.html,绿地城凤语湾    -  知识城 ,3室2厅 ,113, 南 , 精装 , 低楼层(共33层)  ,暂无数据, 板楼,205,广州
https://gz.lianjia.com/ershoufang/108404393950.html,万科金域华庭    -  同福 ,4室2厅 ,108, 东南 , 精装 , 低楼层(共33层) ,2012, 塔楼,580,广州
https://gz.lianjia.com/ershoufang/108405121741.html,龙光棕榈水岸南区    -  南沙区府 ,8室3厅 ,337, 南 , 精装 , 3层 ,2013, 板塔结合,700,广州
https://gz.lianjia.com/ershoufang/108406478281.html,美林湖畔花园    -  东圃 ,3室2厅 ,101, 南 北 , 精装 , 中楼层(共24层) ,2006, 塔楼,580,广州
https://gz.lianjia.com/ershoufang/108405486821.html,麒麟新城    -  黄阁 ,2室1厅 ,64, 北 , 精装 , 中楼层(共6层)  ,暂无数据, 暂无数据,63,广州
https://gz.lianjia.com/ershoufang/108405288661.html,南沙碧桂园    -  金洲 ,2室2厅 ,76, 南 北 , 简装 , 中楼层(共5层)  ,暂无数据, 板塔结合,88,广州
https://gz.lianjia.com/ershoufang/108403479685.html,颐和盛世    -  炭步 ,3室2厅 ,102, 南 , 毛坯 , 低楼层(共25层) ,2014, 塔楼,48,广州
https://gz.lianjia.com/ershoufang/108405314968.html,阳光花园    -  同德围 ,2室1厅 ,40, 北 , 精装 , 中楼层(共9层) ,1997, 塔楼,67,广州
https://gz.lianjia.com/ershoufang/108403248520.html,新兴白云花园    -  江夏 ,1室1厅 ,42, 南 , 精装 , 高楼层(共9层) ,1999, 塔楼,69,广州
https://gz.lianjia.com/ershoufang/108406020479.html,金花小区    -  西华路 ,1室0厅 ,28, 西南 , 简装 , 中楼层(共9层) ,2003, 塔楼,62,广州
https://gz.lianjia.com/ershoufang/108405567265.html,信业悦都荟    -  市桥北 ,2室2厅 ,47, 南 , 精装 , 高楼层(共22层) ,2016, 塔楼,69,广州
https://gz.lianjia.com/ershoufang/108405776133.html,南岸路    -  南岸路 ,2室1厅 ,42, 南 , 简装 , 中楼层(共8层)  ,暂无数据, 板楼,70,广州
https://gz.lianjia.com/ershoufang/108405996074.html,富力金港城东区    -  花东镇 ,2室1厅 ,84, 南 , 其他 , 中楼层(共16层) ,2011, 塔楼,79.8,广州
https://gz.lianjia.com/ershoufang/108406078356.html,鱼木小区    -  鱼珠 ,3室2厅 ,79, 南 北 , 简装 , 6层 ,1993, 板楼,210,广州
https://gz.lianjia.com/ershoufang/108404367991.html,保利翡翠山    -  旧区 ,3室1厅 ,96, 东南 南 , 精装 , 中楼层(共31层)  ,暂无数据, 塔楼,158,广州
https://gz.lianjia.com/ershoufang/108405980876.html,东华花园    -  市桥东 ,3室2厅 ,79, 北 , 简装 , 低楼层(共7层) ,2004, 板楼,190,广州
https://gz.lianjia.com/ershoufang/108406359390.html,解放北路(越秀区)    -  解放北 ,2室1厅 ,54, 东 , 简装 , 低楼层(共4层)  ,暂无数据, 板楼,160,广州
https://gz.lianjia.com/ershoufang/108406212144.html,花语水岸    -  大坦沙 ,3室1厅 ,121, 东南 南 , 精装 , 26层 ,2015, 塔楼,439,广州
https://gz.lianjia.com/ershoufang/108406042333.html,康乐园    -  市桥 ,3室2厅 ,110, 南 , 精装 , 高楼层(共7层) ,1994, 塔楼,200,广州
https://gz.lianjia.com/ershoufang/108405752515.html,尚东阳光    -  沙村 ,2室2厅 ,86, 南 , 精装 , 高楼层(共30层) ,2014, 塔楼,128,广州
https://gz.lianjia.com/ershoufang/108404351464.html,恒大山水城    -  中新镇 ,2室2厅 ,80, 南 , 精装 , 高楼层(共18层) ,2012, 板塔结合,78,广州
https://gz.lianjia.com/ershoufang/108406418555.html,翡翠绿洲森林半岛    -  凤凰城 ,2室1厅 ,73, 南 北 , 其他 , 低楼层(共11层) ,2011, 塔楼,137,广州
https://gz.lianjia.com/ershoufang/108405684199.html,晴海岸    -  南沙湾 ,3室2厅 ,87, 东南 , 其他 , 低楼层(共22层) ,2015, 塔楼,129.8,广州
https://gz.lianjia.com/ershoufang/108404504892.html,高德公馆    -  珠江新城中 ,1室0厅 ,54, 东 , 精装 , 高楼层(共38层) ,2009, 板塔结合,400,广州
https://gz.lianjia.com/ershoufang/108404101601.html,广晟圣淘沙    -  进港大道 ,2室1厅 ,71, 南 , 毛坯 , 中楼层(共18层) ,2017, 塔楼,89,广州
https://gz.lianjia.com/ershoufang/108404263350.html,富力环市西苑    -  西村 ,2室1厅 ,69, 南 , 精装 , 高楼层(共15层) ,2000, 塔楼,298,广州
https://gz.lianjia.com/ershoufang/108406060424.html,南沙保利城    -  黄阁 ,3室1厅 ,89, 东南 , 精装 , 中楼层(共31层)  ,暂无数据, 塔楼,123,广州
https://gz.lianjia.com/ershoufang/108405261433.html,穗花新村    -  昌岗 ,2室2厅 ,55, 东南 , 简装 , 低楼层(共10层) ,1995, 塔楼,220,广州
https://gz.lianjia.com/ershoufang/108406416230.html,保利汇海花园    -  金沙洲 ,2室1厅 ,75, 西北 , 精装 , 中楼层(共26层) ,2010, 塔楼,175,广州
https://gz.lianjia.com/ershoufang/108402907472.html,碧桂园凤凰城凤馨苑    -  凤凰城 ,3室2厅 ,97, 北 , 简装 , 低楼层(共11层) ,2002, 塔楼,148,广州
https://gz.lianjia.com/ershoufang/108405761394.html,梅宾东宿舍    -  梅花园 ,2室1厅 ,60, 东南 , 其他 , 8层 ,2000, 塔楼,150,广州
https://gz.lianjia.com/ershoufang/108406269476.html,保利罗兰国际    -  科学城 ,3室2厅 ,90, 东北 , 其他 , 33层 ,2017, 塔楼,290,广州
https://gz.lianjia.com/ershoufang/108406171226.html,南村水产大院    -  宝岗 ,5室2厅 ,129, 北 南 , 其他 , 高楼层(共7层) ,1995, 塔楼,392,广州
