房屋信息链接,房屋区域,房屋面积,装修,楼层,年份,房屋类型,价格,县区,室,厅
https://sy.lianjia.com/ershoufang/102108879935.html,50,87,2,0,2016,3,66.8,5,3,2
https://sy.lianjia.com/ershoufang/102108547104.html,33,83,2,2,2011,3,78.0,5,3,2
https://sy.lianjia.com/ershoufang/102106395892.html,33,81,2,0,2011,3,68.0,5,3,2
https://sy.lianjia.com/ershoufang/102107502066.html,58,82,2,2,2015,3,84.0,5,3,2
https://sy.lianjia.com/ershoufang/102106600054.html,33,74,1,0,2014,3,80.0,5,3,2
https://sy.lianjia.com/ershoufang/102106834855.html,33,89,1,1,2012,3,84.0,5,3,2
https://sy.lianjia.com/ershoufang/102107539513.html,33,87,1,0,2014,3,83.0,5,3,2
https://sy.lianjia.com/ershoufang/102107940135.html,58,85,1,2,2011,3,75.0,5,3,1
https://sy.lianjia.com/ershoufang/102104690602.html,16,87,1,2,2007,2,90.0,5,3,2
https://sy.lianjia.com/ershoufang/102107332525.html,50,89,1,0,2013,2,85.0,5,3,1
https://sy.lianjia.com/ershoufang/102107234017.html,50,88,0,0,2015,2,63.0,5,3,1
https://sy.lianjia.com/ershoufang/102108295042.html,33,88,1,0,2013,3,75.0,5,3,2
https://sy.lianjia.com/ershoufang/102105912184.html,33,81,1,2,2011,3,80.0,5,3,2
https://sy.lianjia.com/ershoufang/102108025172.html,33,81,1,1,2011,3,85.0,5,3,1
https://sy.lianjia.com/ershoufang/102105285990.html,50,87,0,2,2019,3,88.0,5,3,2
https://sy.lianjia.com/ershoufang/102108708092.html,14,90,1,2,2008,3,85.0,5,3,2
https://sy.lianjia.com/ershoufang/102108251744.html,50,88,1,2,2015,2,64.0,5,3,2
https://sy.lianjia.com/ershoufang/102108026694.html,50,85,1,2,2020,3,85.0,5,3,2
https://sy.lianjia.com/ershoufang/102107480855.html,50,88,2,0,2020,3,88.0,5,3,2
https://sy.lianjia.com/ershoufang/102107774792.html,50,85,2,2,2019,3,77.0,5,3,2
https://sy.lianjia.com/ershoufang/102107499240.html,33,87,1,2,2011,3,81.0,5,3,1
https://sy.lianjia.com/ershoufang/102108073963.html,50,87,1,2,2019,3,75.0,5,3,2
https://sy.lianjia.com/ershoufang/102107828755.html,17,85,1,2,2009,0,72.0,5,3,1
https://sy.lianjia.com/ershoufang/102108561070.html,50,88,1,2,2015,3,68.0,5,3,2
https://sy.lianjia.com/ershoufang/102107911535.html,21,70,1,1,2007,3,68.0,5,3,1
https://sy.lianjia.com/ershoufang/102107950931.html,50,87,1,2,2019,3,87.0,5,3,2
https://sy.lianjia.com/ershoufang/102106603703.html,50,87,1,1,2019,3,69.0,5,3,1
https://sy.lianjia.com/ershoufang/102107723964.html,33,75,1,2,2014,3,74.0,5,3,1
https://sy.lianjia.com/ershoufang/102108804606.html,16,83,1,1,2004,3,90.0,5,3,1
https://sy.lianjia.com/ershoufang/102105764361.html,33,74,2,2,2014,3,66.0,5,3,1
https://sy.lianjia.com/ershoufang/102107699666.html,17,85,2,2,2011,3,78.0,5,3,1
https://sy.lianjia.com/ershoufang/102108464200.html,50,88,2,2,2020,3,76.0,5,3,2
https://sy.lianjia.com/ershoufang/102108714933.html,50,88,2,2,2020,3,89.5,5,3,1
https://sy.lianjia.com/ershoufang/102108773702.html,33,87,1,2,2013,3,68.0,5,3,2
https://sy.lianjia.com/ershoufang/102105184094.html,33,87,1,1,2010,3,78.0,5,3,2
https://sy.lianjia.com/ershoufang/102105849805.html,33,88,2,0,2013,3,73.0,5,3,2
https://sy.lianjia.com/ershoufang/102106206002.html,33,74,1,0,2014,3,67.0,5,3,1
https://sy.lianjia.com/ershoufang/102108276758.html,50,88,2,0,2020,3,80.0,5,3,2
https://sy.lianjia.com/ershoufang/102105758219.html,33,79,2,2,2018,3,87.0,5,3,3
https://sy.lianjia.com/ershoufang/102108786627.html,33,74,1,2,2014,3,62.0,5,3,1
https://sy.lianjia.com/ershoufang/102107115885.html,19,79,0,0,2001,3,82.0,5,3,1
https://sy.lianjia.com/ershoufang/102108658053.html,33,88,1,0,2014,3,75.0,5,3,1
https://sy.lianjia.com/ershoufang/102108266438.html,33,74,2,1,2014,3,69.0,5,3,1
https://sy.lianjia.com/ershoufang/102107579839.html,17,78,1,0,2001,2,63.8,5,3,1
